date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:35	67575/67575	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jan%202024%2005:25:16%20GMT	https://pixydrops.com/oxpinshtml/main-html/about.html	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/about.html	(from )
14:47:37	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-6dc9ac725fd4121d;gz%22	https://pixydrops.com/robots.txt		(from )
14:47:38	15444/15444	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Dec%202025%2011:47:38%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/images/favicons/apple-touch-icon.png	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:39	1453/1453	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Dec%202025%2011:47:39%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/images/favicons/favicon-32x32.png	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:40	681/681	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Dec%202025%2011:47:40%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/images/favicons/favicon-16x16.png	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:41	263/263	---M--	200	added ('OK')	application/manifest+json	date:Tue,%2002%20Jan%202024%2005:25:16%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/images/favicons/site.webmanifest	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/images/favicons/site.webmanifest	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:42	154881/154881	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202024%2005:25:16%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:43	87493/87493	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202024%2005:25:16%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/vendors/animate/animate.min.css	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/vendors/animate/animate.min.css	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:44	29149/29149	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202024%2005:25:16%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/vendors/animate/custom-animate.css	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/vendors/animate/custom-animate.css	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
14:47:45	59348/59348	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202024%2005:25:16%20GMT	https://pixydrops.com/oxpinshtml/main-html/assets/vendors/fontawesome/css/all.min.css	C:/My%20Web%20Sites/Kawac%20Final%20Website./pixydrops.com/oxpinshtml/main-html/assets/vendors/fontawesome/css/all.min.css	(from https://pixydrops.com/oxpinshtml/main-html/about.html)
